,Silence,DFAexp,sub_id,ch
0,1,0.7860418042649268,5.0,0.0
1,1,0.8313679390812556,5.0,1.0
2,1,0.8306149916311171,5.0,2.0
3,1,0.8382074910804151,5.0,3.0
4,1,0.8185529006161156,5.0,4.0
5,1,0.7489439659626054,5.0,5.0
6,1,0.760211312078436,5.0,6.0
7,1,0.757909022116228,6.0,0.0
8,1,0.7318545003982392,6.0,1.0
9,1,0.7288446450933195,6.0,2.0
10,1,0.7454830656685043,6.0,3.0
11,1,0.7490727233473624,6.0,4.0
12,1,0.6701974188568545,6.0,5.0
13,1,0.7311886205480389,6.0,6.0
14,1,0.7083547328143966,6.0,7.0
15,1,0.7262427798062367,6.0,8.0
16,1,0.644163387953749,6.0,9.0
17,1,0.7246233453137416,9.0,0.0
18,1,0.7354732225826213,9.0,1.0
19,1,0.5904272952464966,9.0,2.0
20,1,0.5189479091721202,9.0,3.0
21,1,0.8343851400401627,9.0,4.0
22,1,0.6543714856692376,9.0,5.0
23,1,0.5862104639242134,9.0,6.0
24,1,0.5967434138952301,9.0,7.0
25,1,0.46018004365572324,9.0,8.0
26,1,0.5920392992357331,11.0,0.0
27,1,0.5812780702312937,11.0,1.0
28,1,0.5510148593333692,11.0,2.0
29,1,0.5880496535542137,11.0,3.0
30,1,0.7101394108548631,11.0,4.0
31,1,0.5284698754902017,11.0,5.0
32,1,0.5227555306795351,11.0,6.0
33,1,0.5401209051510811,11.0,7.0
34,1,0.5418485333670734,11.0,8.0
35,1,0.4489624418982026,11.0,9.0
36,1,0.7843583237978166,12.0,0.0
37,1,0.7997870820268593,12.0,1.0
38,1,0.7990182606604387,12.0,2.0
39,1,0.7921050058268058,12.0,3.0
40,1,0.7528893929497151,12.0,4.0
41,1,0.834024465546134,12.0,5.0
42,1,0.7659437335268056,12.0,6.0
43,1,0.7224392230714723,12.0,7.0
44,1,0.7732018990311674,12.0,8.0
45,1,0.4248016006991332,12.0,9.0
46,1,0.7751883415652837,16.0,0.0
47,1,0.8008916466543797,16.0,1.0
48,1,0.7492096855658641,16.0,2.0
49,1,0.6772990700373331,16.0,3.0
50,1,0.7427296830964638,16.0,4.0
51,1,0.724266512118467,16.0,5.0
52,1,0.7222121649866915,16.0,6.0
53,1,0.7086205832670041,16.0,7.0
54,1,0.7688940269529227,16.0,8.0
55,1,0.7605511725044456,17.0,0.0
56,1,0.7894808292131477,17.0,1.0
57,1,0.8384643607244292,17.0,2.0
58,1,0.7466425097407572,17.0,3.0
59,1,0.745809232668537,17.0,4.0
60,1,0.7544987342355787,17.0,5.0
61,1,0.7486740370754531,17.0,6.0
62,1,0.7109521531399124,17.0,7.0
63,1,0.7114202193935505,17.0,8.0
64,1,0.6601991346100682,17.0,9.0
65,1,0.8564243947160918,18.0,0.0
66,1,0.8785987872733567,18.0,1.0
67,1,0.8241790323984848,18.0,2.0
68,1,0.8221159438475745,18.0,3.0
69,1,0.7967513480141897,18.0,4.0
70,1,0.7974639190533336,18.0,5.0
